iter	RMSE
0	0.2725575675
1	0.2710877007
2	0.2697221243
3	0.2688049088
4	0.267410459
5	0.2660546469
6	0.2645750096
7	0.2632464609
8	0.2624265995
9	0.2608892189
10	0.2599310279
11	0.2586569917
12	0.2577267384
13	0.2566623302
14	0.2554748307
15	0.2545557342
16	0.2534194247
17	0.25253175
18	0.251688618
19	0.2506601445
20	0.24968903
21	0.2488914231
22	0.2481869868
23	0.2468268853
24	0.2460491385
25	0.2449536463
26	0.244208518
27	0.243445975
28	0.2425276173
29	0.2418771187
30	0.2409541277
31	0.2402217082
32	0.2397300091
33	0.2389045521
34	0.2384798037
35	0.2376177738
36	0.2367612613
37	0.2357204723
38	0.235180683
39	0.2343057138
40	0.2335150363
41	0.2328735073
42	0.2323204078
43	0.2313740756
44	0.2305440953
45	0.2295069786
46	0.228483207
47	0.2278177033
48	0.2272556448
49	0.2266463495
50	0.225939256
51	0.2253474666
52	0.2248177972
53	0.2244202439
54	0.2238957539
55	0.2233468955
56	0.2224541378
57	0.2216813682
58	0.2206708521
59	0.2199129676
60	0.2193768644
61	0.2187803004
62	0.2180131232
63	0.2175583993
64	0.2169757507
65	0.2161744953
66	0.2155874831
67	0.215037561
68	0.2141877591
69	0.2134487023
70	0.2126702833
71	0.2116183865
72	0.2111233268
73	0.2105316013
74	0.210057932
75	0.2096091741
76	0.2088746191
77	0.2083001609
78	0.2077714704
79	0.2073129652
80	0.2067268538
81	0.2062316059
82	0.2058686015
83	0.2050314419
84	0.2045264971
85	0.203800862
86	0.2032940996
87	0.2028035454
88	0.2025136339
89	0.2016570724
90	0.2013474288
91	0.2004789531
92	0.2000450208
93	0.1997663561
94	0.199185246
95	0.1986437008
96	0.1984637097
97	0.1978473653
98	0.197484415
99	0.1971137689
100	0.196720415
101	0.1958901266
102	0.1950526829
103	0.1942779281
104	0.1937669852
105	0.1933369831
106	0.1925260571
107	0.192054265
108	0.19151201
109	0.1908184968
110	0.1902462545
111	0.1896257678
112	0.1889433574
113	0.1885668323
114	0.1882033469
115	0.1880367171
116	0.1872601413
117	0.1869028729
118	0.1864387343
119	0.1858041572
120	0.1854421321
121	0.1848155358
122	0.1838861614
123	0.183627169
124	0.1831202734
125	0.182356025
126	0.1819838988
127	0.1818608388
128	0.1810423207
129	0.1806387285
130	0.1797300747
131	0.17937332
132	0.1788221601
133	0.1784658061
134	0.1780009813
135	0.1777474036
136	0.1775975822
137	0.1772888002
138	0.1768832771
139	0.1766521528
140	0.1763840922
141	0.1755375866
142	0.1749202577
143	0.1746529805
144	0.1741524369
145	0.1738140314
146	0.1734305841
147	0.1730168279
148	0.1724863155
149	0.1721162239
150	0.1718363357
151	0.1712966174
152	0.1710473328
153	0.1704122245
154	0.1700296989
155	0.1697544674
156	0.169115635
157	0.1689789767
158	0.1683804559
159	0.1677308196
160	0.1671285999
161	0.1667909596
162	0.1662340225
163	0.1656789951
164	0.1649566517
165	0.1643761085
166	0.1639862098
167	0.1636516038
168	0.1633448616
169	0.1628431058
170	0.1625852606
171	0.1621683005
172	0.1613322156
173	0.1604509417
174	0.1601126571
175	0.1594471104
176	0.1586645842
177	0.158348295
178	0.1578045219
179	0.1574645237
180	0.1571427385
181	0.1567051657
182	0.156465317
183	0.1559727258
184	0.1555624287
185	0.1550914052
186	0.1544406235
187	0.1541067768
188	0.1537467433
189	0.1533107362
190	0.1526510936
191	0.1520755688
192	0.1517384154
193	0.1508844584
194	0.1505051933
195	0.1502410274
196	0.14971811
197	0.1495181612
198	0.1491719465
199	0.1487452866
200	0.1479989805
201	0.1475884916
202	0.1471655489
203	0.1464002487
204	0.1458480113
205	0.145442158
206	0.1451302013
207	0.1448236001
208	0.1446462817
209	0.1441282491
210	0.1435920533
211	0.1430769261
212	0.142692048
213	0.1423066956
214	0.1419366626
215	0.1416349616
216	0.1414202055
217	0.1410124689
218	0.1404275886
219	0.1402460336
220	0.1397497519
221	0.1392027195
222	0.1386238952
223	0.138322866
224	0.1377482532
225	0.1373425976
226	0.1368689945
227	0.1364111974
228	0.1361680719
229	0.135875326
230	0.1351993602
231	0.1345469294
232	0.1342877534
233	0.1339612529
234	0.1335353397
235	0.1331707879
236	0.1328285317
237	0.1323624523
238	0.132101436
239	0.1313523341
240	0.131165369
241	0.1308329223
242	0.130177445
243	0.1297654154
244	0.1294760376
245	0.1290067076
246	0.1285890999
247	0.1282659832
248	0.1279870973
249	0.1276750859
250	0.1273555289
251	0.1270070575
252	0.1266984284
253	0.126443669
254	0.125998205
255	0.1256999724
256	0.1253089537
257	0.1250221234
258	0.1245237064
259	0.1239633668
260	0.1237982429
261	0.1230402635
262	0.1222981954
263	0.1219225573
264	0.1216466344
265	0.1213209737
266	0.1210093167
267	0.1207414937
268	0.1200181919
269	0.1197567005
270	0.1194003939
271	0.1191387838
272	0.118436122
273	0.1177548434
274	0.1175355456
275	0.1173851846
276	0.1171700565
277	0.116959861
278	0.1167215779
279	0.1160574257
280	0.115467044
281	0.1149830191
282	0.1146471718
283	0.1142022434
284	0.1137830043
285	0.1135214873
286	0.1131983242
287	0.1127946481
288	0.1125420087
289	0.1119316174
290	0.1116198541
291	0.1113761585
292	0.1109514188
293	0.1107526255
294	0.110529727
295	0.1102305281
296	0.1098229009
297	0.1095852076
298	0.1089511015
299	0.1087353091
300	0.1081199597
301	0.1079092923
302	0.1074707933
303	0.1068713415
304	0.1063489588
305	0.1061445236
306	0.1057202712
307	0.105354927
308	0.1051612535
309	0.1046082942
310	0.1044610238
311	0.1043173221
312	0.1037464863
313	0.1035567886
314	0.1031477855
315	0.1026226782
316	0.1022250817
317	0.1018976255
318	0.101641444
319	0.1012597849
320	0.1009442253
321	0.100695865
322	0.100559079
323	0.1003423892
324	0.1000405131
325	0.0996657667
326	0.0994863116
327	0.09921760896
328	0.09900495939
329	0.09882192512
330	0.09853135131
331	0.09798457356
332	0.09762612756
333	0.09734707826
334	0.09716874275
335	0.09693422739
336	0.09655720624
337	0.09602748073
338	0.09591255572
339	0.09573610279
340	0.0956419323
341	0.09529789336
342	0.09478306228
343	0.0946717291
344	0.09454762918
345	0.09445649437
346	0.09413468511
347	0.09396192311
348	0.09349531179
349	0.09338876644
350	0.09307979622
351	0.09261984023
352	0.09253178371
353	0.09227375627
354	0.09194505908
355	0.09169802355
356	0.09121122689
357	0.09089328754
358	0.0906555151
359	0.09020894351
360	0.09005027874
361	0.08984002188
362	0.089676086
363	0.0894421118
364	0.08919428248
365	0.08873390516
366	0.08842996888
367	0.08827957836
368	0.08807679632
369	0.08765822227
370	0.08751332883
371	0.08731547233
372	0.08715600515
373	0.08686586879
374	0.08667249011
375	0.08638206421
376	0.08615582474
377	0.08571960821
378	0.08532640023
379	0.08502633062
380	0.08474281062
381	0.08432891523
382	0.08396865454
383	0.08369305036
384	0.08358882125
385	0.08318535312
386	0.08289697692
387	0.08269887518
388	0.08226877452
389	0.08207508218
390	0.08172005807
391	0.08153002832
392	0.08131694827
393	0.08121766379
394	0.08087131046
395	0.08070630184
396	0.08061973255
397	0.08042700566
398	0.08005847684
399	0.07988338865
400	0.0796782137
401	0.07940611322
402	0.0790144047
403	0.0789272071
404	0.0787561493
405	0.07849385065
406	0.07811529797
407	0.07796077989
408	0.07787597015
409	0.07767105218
410	0.07741232811
411	0.07717201939
412	0.07697194209
413	0.07682621572
414	0.07662667514
415	0.07637387792
416	0.07616197091
417	0.07593208146
418	0.07573631945
419	0.07554500563
420	0.07532105847
421	0.07515573318
422	0.07491460238
423	0.07483564101
424	0.07461906024
425	0.07454240692
426	0.07435550617
427	0.07415747155
428	0.07378707781
429	0.0735995683
430	0.07341628894
431	0.073183557
432	0.07299018189
433	0.07263157285
434	0.07245161896
435	0.0722434259
436	0.07206696186
437	0.07189443597
438	0.07167061134
439	0.07150718594
440	0.07132652673
441	0.07116799401
442	0.07098028968
443	0.0707995142
444	0.07047272964
445	0.07030345742
446	0.07010465064
447	0.06993291492
448	0.06975803467
449	0.06958931542
450	0.0693744336
451	0.06916055817
452	0.06889665605
453	0.06860180583
454	0.06852874175
455	0.06845839665
456	0.06829563767
457	0.06821809825
458	0.06805939073
459	0.06779876275
460	0.0674635979
461	0.06738857274
462	0.06718346935
463	0.06700962398
464	0.06676186717
465	0.06669531632
466	0.06641457812
467	0.06608728772
468	0.06601461639
469	0.0658469995
470	0.06578324201
471	0.0654446342
472	0.06527562723
473	0.06495047389
474	0.06479134729
475	0.06455751582
476	0.06428757323
477	0.06413729359
478	0.06391252424
479	0.06364959349
480	0.06334599354
481	0.06324794948
482	0.0631016138
483	0.06288598906
484	0.0627316886
485	0.06243840819
486	0.06230669651
487	0.06213684607
488	0.06199410102
489	0.06183778143
490	0.06163058084
491	0.06138587353
492	0.06123846888
493	0.06095874212
